Pliant	Sí	Flexible, que se dobla fácilmente.
Glarify	No	Inventada (se confunde con clarify).
Whimsical	Sí	Juguetón o fantasioso.
Effortful	Sí	Que requiere mucho esfuerzo.
Destinate	No	Inventada (el verbo es destine).
Threshold	Sí	Umbral o límite.
Ambiance	Sí	Atmósfera o entorno.
Cluistry	No	Inventada.
Encompass	Sí	Incluir o rodear completamente.
Thrivance	No	Inventada (lo correcto es thriving).
Inherent	Sí	Innato o esencial.
Relicance	No	Inventada (lo correcto es reliance).
Meticulous	Sí	Muy cuidadoso y detallista.
Substantial	Sí	De importancia o tamaño considerable.
Frivolous	Sí	Ligero o superficial.
Alleviate	Sí	Aliviar o mitigar.
Precipitous	Sí	Rápido o repentino.
Inhibit	Sí	Frenar o impedir.
Flabbergast	Sí	Dejar a alguien asombrado.
Querulous	Sí	Que se queja constantemente.
Ubiquitous	Sí	Que está presente en todas partes.
Fastidious	Sí	Muy exigente o difícil de complacer.
Ephemeral	Sí	Que dura muy poco tiempo.
Capricious	Sí	Cambiante o impulsivo.
Loquacious	Sí	Que habla mucho.
Voracious	Sí	Ávido o insaciable.
Tenacious	Sí	Persistente o firme.
Sagacious	Sí	Sabio o perspicaz.
Vociferous	Sí	Que se expresa con fuerza y ruido.
Pernicious	Sí	Dañino o perjudicial.
Exacerbate	Sí	Empeorar o irritar.
Mitigate	Sí	Atenuar o suavizar.
Obfuscate	Sí	Confundir o nublar el juicio.
Replicate	Sí	Reproducir o copiar.
Validate	Sí	Confirmar la validez de algo.
Fabricate	Sí	Inventar o manufacturar.
Elucidate	Sí	Aclarar o explicar.
Explicate	Sí	Analizar o explicar detalladamente.
Implicate	Sí	Involucrar.
Complicate	Sí	Hacer algo más complejo.
Benevolent	Sí	Bondadoso.
Malevolent	Sí	Malintencionado.
Ambivalent	Sí	Que tiene sentimientos encontrados.
Equivalent	Sí	Igual en valor.
Prevalent	Sí	Común o extendido.
Resilient	Sí	Capaz de recuperarse rápido.
Efficient	Sí	Que logra resultados con pocos recursos.
Deficient	Sí	Que tiene carencias.
Proficient	Sí	Experto en algo.
Sufficient	Sí	Bastante o adecuado.
Auspicious	Sí	Favorable o prometedor.
Perspicacious	Sí	Agudo o ingenioso.
Efficacious	Sí	Efectivo.
Contumacious	Sí	Rebelde.
Fallacious	Sí	Engañoso o falso.
Mendacious	Sí	Mentiroso.
Ostentatious	Sí	Llamativo o pretencioso.
Precocious	Sí	Temprano en desarrollo.
Raucous	Sí	Ruidoso o áspero.
Stentorian	Sí	Voz muy fuerte.
Ebullient	Sí	Lleno de entusiasmo.
Incipient	Sí	Que empieza a manifestarse.
Sapient	Sí	Sabio.
Transient	Sí	Pasajero.
Affluent	Sí	Rico o abundante.
Confluent	Sí	Que converge.
Effluent	Sí	Residuos líquidos.
Mellifluous	Sí	Dulce o suave (voz).
Superfluous	Sí	Innecesario o sobrante.
Incongruous	Sí	Que no encaja.
Assiduous	Sí	Constante y trabajador.
Innocuous	Sí	Inofensivo.
Strenuous	Sí	Que requiere mucho esfuerzo físico.
Tenuous	Sí	Débil o muy fino.
Amorphous	Sí	Sin forma definida.
Indigenous	Sí	Nativo.
Ingenuous	Sí	Inocente o cándido.
Magnanimous	Sí	Generoso.
Pusillanimous	Sí	Cobarde.
Unanimous	Sí	De común acuerdo.
Gregarious	Sí	Sociable.
Nefarious	Sí	Malvado.
Precarious	Sí	Inestable o peligroso.
Vicarious	Sí	Vivido a través de otros.
Hilarious	Sí	Muy gracioso.
Acrimonious	Sí	Lleno de amargura.
Harmonious	Sí	Equilibrado.
Parsimonious	Sí	Tacaño o frugal.
Sanctimonious	Sí	Hipócrita.
Ignominious	Sí	Vergonzoso.
Compendious	Sí	Conciso.
Meritorious	Sí	Digno de elogio.
Notorious	Sí	Famoso por algo malo.
Laborious	Sí	Que requiere mucho trabajo.
Uxorious	Sí	Sumiso a su esposa.
Garrulous	Sí	Habla demasiado.
Tremulous	Sí	Tembloroso.
Incredulous	Sí	Escéptico.
Sedulous	Sí	Diligente.
Frivolous	Sí	Ligero o superficial.
Advantageous	Sí	Beneficioso.
Courageous	Sí	Valiente.
Outrageous	Sí	Escandaloso.
Spontaneous	Sí	Espontáneo.
Miscellaneous	Sí	Diverso.
Simultaneous	Sí	Al mismo tiempo.
Extraneous	Sí	Irrelevante.
Homogeneous	Sí	Uniforme.
Heterogeneous	Sí	Variado.
Gorgeous	Sí	Hermoso.
Ambiguous	Sí	Poco claro.
Continuous	Sí	Sin interrupciones.
Ingenuous	Sí	Franco o ingenuo.
Conspicuous	Sí	Notable.
Perspicuous	Sí	Claro.
Promiscuous	Sí	Indiscriminado.
Sensuous	Sí	Sensorial.
Voluptuous	Sí	Lujurioso.
Tempestuous	Sí	Tormentoso.
Tortuous	Sí	Enrevesado.
Sumptuous	Sí	Lujoso.
Presumptuous	Sí	Atrevido.
Tumultuous	Sí	Alborotado.
Circuitous	Sí	Indirecto.
Fortuitous	Sí	Accidental.
Gratuitous	Sí	Injustificado.
Pityful	No	Incorrecto (pitiable o pitiful).
Doubtly	No	Incorrecto (doubtfully).
Beautifully	Sí	De manera hermosa.
Wonderous	No	Ortografía incorrecta (wondrous).
Generously	Sí	De manera generosa.
Marvelous	Sí	Maravilloso.
Precious	Sí	Valioso.
Vicious	Sí	Feroz.
Malicious	Sí	Malicioso.
Delicious	Sí	Delicioso.
Conscious	Sí	Consciente.
Luscious	Sí	Rico o sabroso.
Ferocious	Sí	Feroz.
Atrocious	Sí	Atroz.
Spacious	Sí	Espacioso.
Gracious	Sí	Amable.
Tenacious	Sí	Persistente.
Vivacious	Sí	Vivaz.
Audacious	Sí	Audaz.
Sagacious	Sí	Sabio.
Voracious	Sí	Voraz.
Rapacious	Sí	Codicioso.
Efficacious	Sí	Efectivo.
Contumacious	Sí	Rebelde.
Ostentatious	Sí	Pretencioso.
Perspicacious	Sí	Agudo.
Raucous	Sí	Ruidoso.
Veracious	Sí	Veraz.
Loquacious	Sí	Hablador.
Salacious	Sí	Lascivo.
Pugnacious	Sí	Belicoso.
Fallacious	Sí	Engañoso.
Mendacious	Sí	Mentiroso.
Predaceous	Sí	Depredador.
